,Date,Ticker,Mentions,Rank,Sentiment
572,2020-04-15,MSFT,227,7,0.1081621145
573,2020-04-16,MSFT,469,6,0.0445411514
574,2020-04-17,MSFT,228,10,0.0815359649
575,2020-04-18,MSFT,90,5,0.1743544444
576,2020-04-19,MSFT,55,11,0.0907672727
577,2020-04-20,MSFT,160,11,0.02263875
578,2020-04-21,MSFT,289,8,0.0146643599
579,2020-04-22,MSFT,151,11,0.070702649
580,2020-04-23,MSFT,257,10,0.0188252918
581,2020-04-24,MSFT,178,8,0.0512202247
582,2020-04-25,MSFT,45,6,0.1844688889
583,2020-04-26,MSFT,81,4,0.1586888889
584,2020-04-27,MSFT,303,6,-0.0107871287
585,2020-04-28,MSFT,394,5,0.0101296954
586,2020-04-29,MSFT,734,3,0.0716737057
587,2020-04-30,MSFT,408,5,0.0059254902
588,2020-05-01,MSFT,96,12,0.0198916667
589,2020-05-02,MSFT,34,8,0.1171529412
590,2020-05-03,MSFT,44,11,-0.0194
591,2020-05-04,MSFT,99,15,0.0208141414
592,2020-05-05,MSFT,124,14,0.0967419355
593,2020-05-06,MSFT,87,23,0.0643241379
594,2020-05-07,MSFT,83,24,0.0252590361
595,2020-05-08,MSFT,126,11,0.0477357143
596,2020-05-09,MSFT,24,19,0.1333458333
597,2020-05-10,MSFT,23,25,0.1200956522
598,2020-05-11,MSFT,99,23,0.1212424242
599,2020-05-12,MSFT,96,24,-0.0283427083
600,2020-05-13,MSFT,98,19,0.0688214286
601,2020-05-14,MSFT,77,24,-0.0165571429
602,2020-05-15,MSFT,101,16,-0.0270544554
603,2020-05-16,MSFT,25,16,0.24114
604,2020-05-17,MSFT,34,18,0.0172588235
605,2020-05-18,MSFT,78,29,0.0226410256
606,2020-05-19,MSFT,97,22,0.0085742268
607,2020-05-20,MSFT,74,22,-0.01445
608,2020-05-21,MSFT,59,27,0.1163728814
609,2020-05-22,MSFT,70,19,0.09269
610,2020-05-23,MSFT,18,18,0.0965777778
611,2020-05-24,MSFT,17,15,0.1831882353
612,2020-05-25,MSFT,40,13,0.0481375
613,2020-05-26,MSFT,186,8,-0.0339284946
614,2020-05-27,MSFT,156,11,0.0277083333
615,2020-05-28,MSFT,131,12,0.0636709924
616,2020-05-29,MSFT,57,23,0.0555035088
617,2020-05-30,MSFT,10,43,0.14501
618,2020-05-31,MSFT,16,41,0.034225
619,2020-06-01,MSFT,96,15,-0.1077625
620,2020-06-02,MSFT,90,16,0.0114255556
621,2020-06-03,MSFT,96,18,0.1208
622,2020-06-04,MSFT,98,21,-0.0423091837
623,2020-06-05,MSFT,92,25,0.0927978261
624,2020-06-06,MSFT,24,31,0.1312041667
625,2020-06-07,MSFT,49,18,0.0935122449
626,2020-06-08,MSFT,108,31,0.0738314815
627,2020-06-09,MSFT,213,14,0.0360600939
628,2020-06-10,MSFT,424,7,0.0363915094
629,2020-06-11,MSFT,243,8,0.0436917695
630,2020-06-12,MSFT,82,13,-0.0711804878
631,2020-06-13,MSFT,85,4,0.1172964706
632,2020-06-14,MSFT,56,9,0.1090910714
633,2020-06-15,MSFT,153,13,0.0060673203
634,2020-06-16,MSFT,286,5,0.002463986
635,2020-06-17,MSFT,193,10,0.0132896373
636,2020-06-18,MSFT,179,5,-0.0263826816
637,2020-06-19,MSFT,444,2,0.0031686937
638,2020-06-20,MSFT,41,6,0.0622487805
639,2020-06-21,MSFT,58,4,0.0733051724
640,2020-06-22,MSFT,957,1,0.0389671891
641,2020-06-23,MSFT,220,7,0.0517940909
642,2020-06-24,MSFT,202,7,0.0095792079
643,2020-06-25,MSFT,93,20,0.0214053763
644,2020-06-26,MSFT,136,6,0.0489772059
645,2020-06-27,MSFT,31,12,0.117
646,2020-06-28,MSFT,33,12,0.0907030303
647,2020-06-29,MSFT,85,11,0.0791305882
648,2020-06-30,MSFT,189,6,0.0171428571
