,Date,Ticker,OTC_Short,OTC_Total,DPI
830,2019-04-30,MSFT,2813346,6145298,0.45780465
831,2019-04-29,MSFT,2065187,4666201,0.442584235
832,2019-04-26,MSFT,3262013,6734578,0.4843678401
833,2019-04-25,MSFT,6535656,13135340,0.4975627582
834,2019-04-24,MSFT,4154718,8375676,0.4960456923
835,2019-04-23,MSFT,3519012,6642473,0.5297743777
836,2019-04-22,MSFT,2538020,4816688,0.5269222337
837,2019-04-18,MSFT,3720749,6955930,0.534903169
838,2019-04-17,MSFT,2281067,5066336,0.4502399762
839,2019-04-16,MSFT,1711874,4108988,0.4166169383
840,2019-04-15,MSFT,1794586,4073884,0.4405098427
841,2019-04-12,MSFT,1960389,4714272,0.4158413006
842,2019-04-11,MSFT,1325647,3513787,0.3772701646
843,2019-04-10,MSFT,1682526,3624945,0.4641521458
844,2019-04-09,MSFT,1571528,3953666,0.3974862824
845,2019-04-08,MSFT,1600431,3755365,0.4261718901
846,2019-04-05,MSFT,2031116,3978001,0.5105871014
847,2019-04-04,MSFT,2436281,4824648,0.5049655436
848,2019-04-03,MSFT,2809829,5824237,0.4824372703
849,2019-04-02,MSFT,2018078,4203239,0.4801244945
850,2019-04-01,MSFT,1990401,4743131,0.4196386311
851,2019-03-29,MSFT,1982967,4165161,0.4760841178
852,2019-03-28,MSFT,1822030,3778636,0.482192516
853,2019-03-27,MSFT,2297441,4992238,0.4602026185
854,2019-03-26,MSFT,2651443,5816627,0.4558385814
855,2019-03-25,MSFT,2506371,5921392,0.4232739532
856,2019-03-22,MSFT,2641350,6288847,0.4200054477
857,2019-03-21,MSFT,3710463,6918533,0.5363077693
858,2019-03-20,MSFT,2352956,5140502,0.4577288366
859,2019-03-19,MSFT,2912896,7793744,0.3737479702
860,2019-03-18,MSFT,4208945,7439836,0.5657308844
861,2019-03-15,MSFT,4567525,8918362,0.5121484192
862,2019-03-14,MSFT,1993787,4257594,0.4682896021
863,2019-03-13,MSFT,2625232,5631394,0.4661780014
864,2019-03-12,MSFT,2978751,6569253,0.4534383133
865,2019-03-11,MSFT,2898730,5916663,0.4899265008
866,2019-03-08,MSFT,2294652,4836419,0.4744526891
867,2019-03-07,MSFT,2017873,4978628,0.4053070444
868,2019-03-06,MSFT,1941981,4431353,0.4382365837
869,2019-03-05,MSFT,1376711,4147620,0.331927949
870,2019-03-04,MSFT,2516410,6996406,0.3596718086
871,2019-03-01,MSFT,1291805,5790463,0.2230918322
872,2019-02-28,MSFT,2029544,7872430,0.2578040071
873,2019-02-27,MSFT,1827878,6599344,0.2769787421
874,2019-02-26,MSFT,2620060,6174324,0.4243476695
875,2019-02-25,MSFT,2774760,7755496,0.3577798248
876,2019-02-22,MSFT,2825742,7903864,0.3575139957
877,2019-02-21,MSFT,3088415,9045666,0.3414248326
878,2019-02-20,MSFT,1802117,5322987,0.3385537105
879,2019-02-19,MSFT,1858667,6045560,0.3074433138
880,2019-02-15,MSFT,1923656,5346507,0.3597967795
881,2019-02-14,MSFT,1885172,5344919,0.3527035676
882,2019-02-13,MSFT,1701142,4726467,0.3599183068
883,2019-02-12,MSFT,1967622,6568222,0.2995669148
884,2019-02-11,MSFT,1551111,4446858,0.3488105534
885,2019-02-08,MSFT,1594251,5080275,0.3138119492
886,2019-02-07,MSFT,2076891,4904143,0.4234972349
887,2019-02-06,MSFT,1842789,5177561,0.3559183562
888,2019-02-05,MSFT,2432652,7233560,0.3363007979
889,2019-02-04,MSFT,2579156,8230494,0.3133658806
890,2019-02-01,MSFT,3624076,9116268,0.3975394317
891,2019-01-31,MSFT,6146848,18308996,0.3357282944
892,2019-01-30,MSFT,4958533,13312721,0.3724657792
893,2019-01-29,MSFT,2631112,10492950,0.2507504563
894,2019-01-28,MSFT,2473376,8098130,0.3054255736
895,2019-01-25,MSFT,2094393,8043863,0.2603715404
896,2019-01-24,MSFT,2080371,6204661,0.3352916461
897,2019-01-23,MSFT,2251035,6123922,0.3675806126
